Numero du dept : 23
1 Aubrac et Carladez 10389 Polygon
2 Aveyron et Tarn 10856 Polygon
3 Causse-Comtal 11444 Polygon
4 Causses-Rougiers 11548 Polygon
5 Ceor-Ségala 13809 Polygon
6 Enne et Alzou 13414 Polygon
7 Lot et Dourdou 14042 Polygon
8 Lot et Montbazinois 11585 Polygon
9 Lot et Palanges 10207 Polygon
10 Lot et Truyère 10045 Polygon
11 Millau-1 14184 Polygon
12 Millau-2 14463 Polygon
13 Monts du Réquistanais 10630 Polygon
14 Nord-Lévezou 12989 Polygon
15 Raspes et Lévezou 10932 Polygon
16 Rodez-1 11434 Polygon
17 Rodez-2 12137 Polygon
18 Rodez-Onet 13347 Polygon
19 Saint-Affrique 12797 Polygon
20 Tarn et Causses 10262 Polygon
21 Vallon 11972 Polygon
22 Villefranche-de-Rouergue 13168 Polygon
23 Villeneuvois et Villefranchois 10575 Polygon

2.609515 44.669249 2.613213 44.664789 1 10
2.613213 44.664789 2.605979 44.665007 1 10
2.605979 44.665007 2.598243 44.661736 1 10
2.598243 44.661736 2.593675 44.663841 1 10
2.593675 44.663841 2.589778 44.66317 1 10
2.589778 44.66317 2.5873 44.660452 1 10
2.5873 44.660452 2.583129 44.660974 1 10
2.583129 44.660974 2.579706 44.665521 1 10
2.579706 44.665521 2.573251 44.669406 1 10
2.573251 44.669406 2.575007 44.674957 1 10
2.575007 44.674957 2.570296 44.685962 1 10
2.570296 44.685962 2.570623 44.690675 1 10
2.570623 44.690675 2.5723 44.693138 1 10
2.5723 44.693138 2.584714 44.69529 1 10
2.584714 44.69529 2.587547 44.700765 1 10
2.587547 44.700765 2.593398 44.698973 1 10
2.593398 44.698973 2.596944 44.699721 1 10
2.596944 44.699721 2.599089 44.704022 1 10
2.599089 44.704022 2.605253 44.707243 1 10
2.605253 44.707243 2.606674 44.709528 1 10
2.606674 44.709528 2.604672 44.71253 1 10
2.604672 44.71253 2.609587 44.713938 1 10
2.609587 44.713938 2.609079 44.722041 1 10
2.609079 44.722041 2.606943 44.726196 1 10
2.606943 44.726196 2.609166 44.729262 1 10
2.609166 44.729262 2.61916 44.727668 1 10
2.61916 44.727668 2.620283 44.730927 1 10
2.620283 44.730927 2.625736 44.737224 1 10
2.625736 44.737224 2.632017 44.739571 1 10
2.632017 44.739571 2.633808 44.741431 1 10
2.633808 44.741431 2.630115 44.748475 1 10
2.630115 44.748475 2.635869 44.754963 1 10
2.635869 44.754963 2.633283 44.762278 1 10
2.633283 44.762278 2.630226 44.765282 1 10
2.630226 44.765282 2.623207 44.769861 1 10
2.623207 44.769861 2.616682 44.771023 1 10
2.616682 44.771023 2.609699 44.769259 1 10
