Numero du dept : 29
1 Bièvre 43024 Polygon
2 Bourgoin-Jallieu 50320 Polygon
3 Chartreuse-Guiers 35299 Polygon
4 Charvieu-Chavagneux 50085 Polygon
5 Echirolles 46456 Polygon
6 Fontaine-Seyssinet 37386 Polygon
7 Fontaine-Vercors 38210 Polygon
8 Le Grand-Lemps 34596 Polygon
9 Grenoble-1 46843 Polygon
10 Grenoble-2 44021 Polygon
11 Grenoble-3 46817 Polygon
12 Grenoble-4 46807 Polygon
13 Le Haut-Grésivaudan 42030 Polygon
14 L'Isle-d'Abeau 49566 Polygon
15 Matheysine-Trièves 29277 Polygon
16 Meylan 43912 Polygon
17 Morestel 36615 Polygon
18 Le Moyen Grésivaudan 43923 Polygon
19 Oisans-Romanche 33065 Polygon
20 Le Pont-de-Claix 44436 Polygon
21 Roussillon 45475 Polygon
22 Saint-Martin-d'Hères 47142 Polygon
23 Le Sud Grésivaudan 40823 Polygon
24 La Tour-du-Pin 34770 Polygon
25 Tullins 37968 Polygon
26 La Verpillière 43419 Polygon
27 Vienne-1 39712 Polygon
28 Vienne-2 47469 Polygon
29 Voiron 45527 Polygon

5.092571 45.441781 5.085803 45.442767 1 21
5.085803 45.442767 5.069168 45.44287 1 21
5.069168 45.44287 5.067213 45.442018 1 21
5.067213 45.442018 5.055933 45.447022 1 21
5.055933 45.447022 5.050869 45.447492 1 21
5.050869 45.447492 5.043228 45.451056 1 21
5.043228 45.451056 5.037158 45.452352 1 21
5.037158 45.452352 5.035482 45.460105 1 28
5.035482 45.460105 5.038314 45.466592 1 28
5.038314 45.466592 5.034199 45.471032 1 28
5.034199 45.471032 5.040357 45.477535 1 28
5.040357 45.477535 5.040684 45.487359 1 28
5.040684 45.487359 5.038402 45.490423 1 28
5.038402 45.490423 5.038402 45.490423 1 0
5.219373 45.660928 5.225789 45.664993 2 4
5.225789 45.664993 5.232101 45.670159 2 4
5.232101 45.670159 5.237691 45.672626 2 4
5.237691 45.672626 5.247706 45.672526 2 4
5.247706 45.672526 5.253608 45.668768 2 4
5.253608 45.668768 5.269335 45.654345 2 4
5.269335 45.654345 5.271871 45.649198 2 4
5.271871 45.649198 5.276808 45.642197 2 4
5.276808 45.642197 5.28515 45.647715 2 4
5.28515 45.647715 5.290823 45.650413 2 4
5.290823 45.650413 5.291927 45.652604 2 4
5.291927 45.652604 5.303164 45.657858 2 4
5.303164 45.657858 5.304727 45.661275 2 4
5.304727 45.661275 5.337582 45.676175 2 4
5.337582 45.676175 5.356888 45.673665 2 4
5.356888 45.673665 5.359994 45.673719 2 4
5.359994 45.673719 5.363596 45.673834 2 17
5.363596 45.673834 5.377124 45.687017 2 17
5.377124 45.687017 5.380699 45.682213 2 17
5.380699 45.682213 5.383307 45.670489 2 17
