Numero du dept : 19
1 Angoulême-1 18855 Polygon
2 Angoulême-2 19158 Polygon
3 Angoulême-3 22451 Polygon
4 Boëme-Echelle 17899 Polygon
5 Boixe-et-Manslois 17536 Polygon
6 Charente-Bonnieure 17321 Polygon
7 Charente-Champagne 17191 Polygon
8 Charente-Nord 18924 Polygon
9 Charente-Sud 20115 Polygon
10 Charente-Vienne 19028 Polygon
11 Cognac-1 16797 Polygon
12 Cognac-2 17541 Polygon
13 La Couronne 15597 Polygon
14 Gond-Pontouvre 19513 Polygon
15 Jarnac 15971 Polygon
16 Touvre-et-Braconne 18900 Polygon
17 Tude-et-Lavalette 18182 Polygon
18 Val de Nouère 20850 Polygon
19 Val de Tardoire 21828 Polygon

0.198335 45.554247 0.187769 45.55587 4 17
0.187769 45.55587 0.183123 45.558544 4 17
0.183123 45.558544 0.178174 45.563114 4 17
0.178174 45.563114 0.174143 45.564721 4 17
0.174143 45.564721 0.173964 45.554152 4 17
0.173964 45.554152 0.168939 45.553986 4 17
0.168939 45.553986 0.167333 45.550522 4 17
0.167333 45.550522 0.162735 45.551094 4 17
0.162735 45.551094 0.156001 45.549379 4 17
0.156001 45.549379 0.150883 45.543669 4 17
0.150883 45.543669 0.161219 45.543249 4 17
0.161219 45.543249 0.16431 45.541829 4 17
0.16431 45.541829 0.161097 45.537354 4 17
0.161097 45.537354 0.159828 45.532007 4 17
0.159828 45.532007 0.16348 45.53051 4 17
0.16348 45.53051 0.164081 45.52568 4 17
0.164081 45.52568 0.159064 45.524977 4 17
0.159064 45.524977 0.147149 45.526036 4 17
0.147149 45.526036 0.142302 45.524343 4 17
0.142302 45.524343 0.142872 45.522399 4 17
0.142872 45.522399 0.136102 45.51147 4 17
0.136102 45.51147 0.132922 45.503918 4 17
0.132922 45.503918 0.129928 45.503993 4 17
0.129928 45.503993 0.124209 45.501386 4 17
0.124209 45.501386 0.117861 45.501896 4 17
0.117861 45.501896 0.116262 45.497121 4 17
0.116262 45.497121 0.118749 45.481951 4 17
0.118749 45.481951 0.121151 45.476632 4 17
0.121151 45.476632 0.112777 45.474461 4 9
0.112777 45.474461 0.109235 45.479133 4 9
0.109235 45.479133 0.10456 45.483025 4 9
0.10456 45.483025 0.100525 45.484387 4 9
0.100525 45.484387 0.095114 45.489694 4 9
0.095114 45.489694 0.097369 45.492234 4 9
0.097369 45.492234 0.101651 45.492973 4 9
0.101651 45.492973 0.104972 45.49789 4 9
0.104972 45.49789 0.102673 45.501926 4 9
0.102673 45.501926 0.102187 45.509312 4 9
0.102187 45.509312 0.096904 45.508569 4 9
0.096904 45.508569 0.089317 45.510837 4 9
0.089317 45.510837 0.083874 45.510489 4 9
0.083874 45.510489 0.070018 45.513774 4 9
0.070018 45.513774 0.061562 45.513047 4 9
0.061562 45.513047 0.060913 45.517243 4 9
0.060913 45.517243 0.054907 45.520352 4 9
0.054907 45.520352 0.048685 45.51855 4 9
0.048685 45.51855 0.046126 45.521042 4 9
0.046126 45.521042 0.042813 45.5301 4 9
0.042813 45.5301 0.03634 45.530736 4 9
0.03634 45.530736 0.035564 45.537004 4 9
0.035564 45.537004 0.026372 45.535495 4 9
0.026372 45.535495 0.020351 45.536753 4 9
0.020351 45.536753 0.018948 45.543692 4 9
0.018948 45.543692 0.003501 45.549286 4 9
